annotated_by,category,question
authors,COMPARISON,"I use Windows XP Pro, how does it compare with Xp Media Edition?"
authors,COMPARISON,What are the differences between an Aussie accent and a Kiwi accent?
authors,COMPARISON,What are the main differences between OSI and TCP/ IP reference models?
authors,COMPARISON,What are the pros and cons of being an emotionless person?
authors,COMPARISON,What is the difference between Ethernet and WiFi?
authors,COMPARISON,What is the difference between a disciple and an apostle?
authors,COMPARISON,What is the difference between a present system and the new GST tax system approved by the Indian Government?
authors,COMPARISON,What's the difference between MMORPG and RPG?
authors,COMPARISON,What's the difference between Vyvanse and Adderall?
authors,COMPARISON,What's the main difference in taste between Coke and Pepsi?
authors,COMPARISON,how desktop machines differ from servers?
authors,COMPARISON,what do molecules and compounds have in common?
authors,COMPARISON,what is difference between fiber and yarn?
authors,COMPARISON,whats the difference of catholic and christian?
mturk,COMPARISON,Compare the OSI and the TCP/IP reference models?
mturk,COMPARISON,How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet T120 24-in Printer?
mturk,COMPARISON,Is there a difference ?
mturk,COMPARISON,The difference between sex and religion questions?
mturk,COMPARISON,What are some differences and similarities in the hispanic and american cultures?
mturk,COMPARISON,What is difference between morality and ethics?
mturk,COMPARISON,"What is the difference between ""me gustaria"" and ""Queria"" in Spanish ?"
mturk,COMPARISON,What is the difference between GST passed today and the previous taxation system in India?
mturk,COMPARISON,What is the difference between Modi and Hitler?
mturk,COMPARISON,What is the difference between an Israelite and an Israeli?
mturk,COMPARISON,"What's the difference between ""Mrs"", ""Miss"" and ""Ms""?"
mturk,COMPARISON,"What's the difference between ""soul"" and ""spirit""?"
mturk,COMPARISON,What's the difference between Chinese and Western universities?
mturk,COMPARISON,What's the difference between a cabbage?
mturk,COMPARISON,What's the difference between a flat screen and an LCD flat panel?
mturk,COMPARISON,What's the difference between the color violet and the color purple?
mturk,COMPARISON,What's the difference in candied apples and caramel apples?
mturk,COMPARISON,Whats the difference between mature cells and immature cells hence chondroblasts and chondrocytes?
mturk,COMPARISON,"Which is a better buy in Thailand, a flat or a plot?"
mturk,COMPARISON,Who is better in concert -- Taylor Swift or Katy Perry?
mturk,COMPARISON,Who is more intelligent than humans on earth?
mturk,COMPARISON,difference between hub and switch?
mturk,COMPARISON,is more difficult to train a male versus a female?
mturk,COMPARISON,my question is a general topic what is the difference between religion versus evolution of man?
mturk,COMPARISON,what is a difference between producers and consumers?
mturk,COMPARISON,what is the difference betweeen geograpic information system and science?
mturk,COMPARISON,what is the difference between ENGINEERING and TECHNOLOGY?
mturk,COMPARISON,what is the difference between SIV and HIV?
mturk,COMPARISON,what is the difference between an inverter and a rectifier?
mturk,COMPARISON,what is the difference between c and cpp pointers?
mturk,COMPARISON,what is the difference between customer and consumer?
mturk,COMPARISON,what is the difference between scientific and humanistic approch?
mturk,COMPARISON,what is the difference between yellow and white cheese besides taste?
mturk,COMPARISON,what search engine hs the most complete index?
mturk,COMPARISON,what were the differences between Hoover's and FDR's of handling the Depression?
mturk,COMPARISON,what's the difference between a tornado watch and a tornado warning?
mturk,COMPARISON,what's the difference between he American and Japanese Nintendo DS Lite?
mturk,COMPARISON,"whats more, nature or nurture?"
